pathway_name,pathway_id,condition_present_in,protein_gene_symbol,effect_size_r,direction,MW_pvalue,BH_q,n_AD,n_Control
angiogenesis,GO:0001525,D-only,THBS1,-0.5,↓AD,0.4,0.99438302620732,8,2
angiogenesis,GO:0001525,D-only,APOH,-0.46,↓AD,0.04531344230901011,0.48507581170119873,20,10
angiogenesis,GO:0001525,D-only,APOD,-0.38,↓AD,0.09898793180102639,0.624861319493979,20,10
angiogenesis,GO:0001525,D-only,LRG1,-0.3099,↓AD,0.20090081800620052,0.868853368853369,19,9
angiogenesis,GO:0001525,D-only,SIRT1,-0.2,↓AD,0.7857142857142857,0.99438302620732,3,5
negative regulation of response to biotic stimulus,GO:0002832,core7,SERPING1,0.5895,↑AD,0.010880464566880379,0.27473173031372955,19,10
negative regulation of response to biotic stimulus,GO:0002832,core7,A2M,0.25,↑AD,0.28109789200741464,0.9158350675080283,20,10
basement membrane,GO:0005604,core7,VWA1,0.6333,↑AD,0.062435500515995876,0.48507581170119873,15,4
basement membrane,GO:0005604,core7,ACTA2,-0.375,↓AD,0.5333333333333333,0.99438302620732,8,2
basement membrane,GO:0005604,core7,FBLN1,-0.0226,↓AD,0.9550015202189113,0.99438302620732,19,7
intracellular anatomical structure,GO:0005622,D-only,RETSAT,-1.0,↓AD,0.05555555555555555,0.48507581170119873,7,2
intracellular anatomical structure,GO:0005622,D-only,LYZ,0.8,↑AD,0.030303030303030304,0.48507581170119873,6,5
intracellular anatomical structure,GO:0005622,D-only,SERPINC1,-0.7361,↓AD,0.0029564779954394976,0.27473173031372955,16,9
intracellular anatomical structure,GO:0005622,D-only,KRT83,0.6667,↑AD,0.4,0.99438302620732,3,2
intracellular anatomical structure,GO:0005622,D-only,VWA1,0.6333,↑AD,0.062435500515995876,0.48507581170119873,15,4
female pregnancy,GO:0007565,D-only,PZP,0.0476,↑AD,0.9452214452214451,0.99438302620732,7,6
female pregnancy,GO:0007565,D-only,FBLN1,-0.0226,↓AD,0.9550015202189113,0.99438302620732,19,7
embryo development,GO:0009790,D-only,C6,-0.49,↓AD,0.03286607455759875,0.48507581170119873,20,10
embryo development,GO:0009790,D-only,A2M,0.25,↑AD,0.28109789200741464,0.9158350675080283,20,10
embryo development,GO:0009790,D-only,MTHFD1,0.2421,↑AD,0.30189844442852765,0.9239922087054937,19,10
embryo development,GO:0009790,D-only,EFEMP1,0.1,↑AD,0.9047619047619049,0.99438302620732,4,5
embryo development,GO:0009790,D-only,CLUAP1,-0.07,↓AD,0.7749073226114355,0.99438302620732,20,10
removal of superoxide radicals,GO:0019430,D-only,APOA4,0.2,↑AD,0.39095562378232207,0.99438302620732,20,10
ketone biosynthetic process,GO:0042181,core7,SIRT6,-0.2,↓AD,0.7857142857142857,0.99438302620732,3,5
glycerolipid biosynthetic process,GO:0045017,D-only,LCAT,-0.3333,↓AD,0.6285714285714286,0.99438302620732,3,4
glycerolipid biosynthetic process,GO:0045017,D-only,SIRT1,-0.2,↓AD,0.7857142857142857,0.99438302620732,3,5
negative regulation of complement activation,GO:0045916,D-only,SERPING1,0.5895,↑AD,0.010880464566880379,0.27473173031372955,19,10
negative regulation of complement activation,GO:0045916,D-only,C4BPB,-0.44,↓AD,0.05565276521016723,0.48507581170119873,20,10
negative regulation of complement activation,GO:0045916,D-only,A2M,0.25,↑AD,0.28109789200741464,0.9158350675080283,20,10
negative regulation of complement activation,GO:0045916,D-only,C4BPA,-0.1406,↓AD,0.6100933959326744,0.99438302620732,16,8
cellular response to lipid,GO:0071396,D-only,SIRT1,-0.2,↓AD,0.7857142857142857,0.99438302620732,3,5
cellular response to lipid,GO:0071396,D-only,LBP,0.1538,↑AD,0.5950660966140843,0.99438302620732,13,8
cellular response to lipid,GO:0071396,D-only,CD14,0.0909,↑AD,0.8512820512820513,0.99438302620732,11,4
Membrane Trafficking,REAC:R-HSA-199991,D-only,ACTB,0.2222,↑AD,0.6041958041958042,0.99438302620732,9,4
Membrane Trafficking,REAC:R-HSA-199991,D-only,EGF,0.1,↑AD,0.9047619047619049,0.99438302620732,4,5
Membrane Trafficking,REAC:R-HSA-199991,D-only,ACTG1,0.0556,↑AD,0.9398601398601399,0.99438302620732,9,4
